策划案编号,标题,题材,主线,人设,钩子,投流,主线评估结论,人设评估结论,钩子评估结论,投流评估结论
197,《云深不见鹿鸣》,虐恋,女主被女配陷害卖给老男人换钱，却意外和醉酒的男主一夜情，两人都没看清彼此。次日女主醒来逃离，回到合租房听到女配向老男人赔罪，得知真相，女主气愤和女配吵架，被赶出合租房，走投无路之下找到了一份女佣的工作，而这份工作正是在男主家里。与此同时，男主带着信物上门，女配冒领了一夜情身份，随后在男主家遇到女主，为防止真相败露，女配对女主百般刁难，希望女主能自己离开。,男主：黑手党教父，重情义，重承诺。 女主：男主家的女佣，坚韧顽强。 女配：女主的合租室友，冒领女主一夜情身份留在男主身边。,男主查到当晚的监控，质问女配骗他。,男女主一夜情； 女配冒领一夜情身份； 女主女配在男主家遇见，女配对女主的刁难羞辱，男主到来，对女配的关心和对女主的漠视； 男主看到监控，愤怒质问女配。,通过,通过,通过,通过
198,因为你是我的眼,虐恋,男主因为意外失明，被家族抛弃丢到孤儿院，女主也因为母亲去世，父亲另娶而被赶去孤儿院。男主被孤儿院的人欺负，女主保护男主，两人相依为命，后相爱（在此期间两人改了名字，所以不知道对方真名）。后男主家因为后继无人要找回男主，还给男主安排了联姻对象，但男主为了女主而拒绝。怎料男主遭遇车祸，需要钱救治，女主为了救男主，答应替心所有属的妹妹替嫁到男主家（当时还不知道嫁得人就是男主），女主还将眼角膜捐给了男主。手术过后，女主变成瞎子，男主重见光明，收到女主的信，以为女主抛弃自己（女主故意的，觉得自己嫁人了不想耽误男主），心灰意冷接受联姻安排。婚后，女主生下男主的孩子，男主则以为女主生的是野男人的孩子，两人展开一场虐恋。,女主：不受宠的富家千金，深爱男主 男主：双目失明的少爷，深爱女主 女配：一心想上位的富家千金，和男主家是世交,女配声称女主女儿是野种，要将女主女儿赶走，女主为了保护女儿被欺负。男主出现，女儿认出男主身上有女主说过，男主给她的信物，认出男主是自己爸爸，哭着抱住男主叫爸爸，求他救救女主,素材一：女主难产，医生护士让打电话通知男主，护士说男主的助理表示，男主说孩子不是他的，不用费力抢救，死了直接火化 素材二：女主躺在手术台上回忆，男主车祸陷入危机，女主打电话求助男主爷爷，但男主爷爷因为男主为了女主放弃联姻而不肯救男主，女主走投无路，只能去求家里人，答应心有所属的继妹嫁到男主家。出嫁前，女主捐给男主自己的眼角膜，又为了让男主放下自己，而留下一封绝情信 素材三：男女主新婚十个月都没见过面，男主得知女主生了一个女儿，决定去见见这个不安分的新婚妻子。两人争执之间，女主身上掉出了男主给女主的信物,不通过,通过,通过,通过
199,命中注定遇见你,虐恋,男主遭遇车祸陷入昏迷，双腿残疾，被家族丢弃，又被未婚妻和亲弟弟背叛，从此封心锁爱，营造出自暴自弃，性格阴森的假象暗中计划报复。女主母亲生病住院，为了钱来给脾气古怪的男主当保姆，得知男主的经历后，决定帮助男主，最终救赎男主，两人修成正果,女主：母亲患病，心地善良，阳光开朗，心疼男主的遭遇，一直致力于救赎男主 男主：意外残疾，装颓废其实暗中计划报复，被女主感染慢慢变得没那么孤僻和偏激,男配女配婚礼现场，男配找来女主亲戚，骗女主她母亲快死了，女主为了见母亲最后一面，丢下男主赶去医院（男主主动让女主去的）。之后男配派人对落单的男主下手，女主在车上察觉到不对劲，想赶回去时，接到父亲电话，女主母亲真的不行了，要女主快来见最后一面，女主开始纠结到底去哪里,素材一：女主来到男主家应聘保姆（闪回女主在医院照顾生病的母亲时，被男主母亲看中，邀请她来自己家试试应聘保姆）。女主刚到门口，就看到几个人逃窜着和自己擦肩而过，后得知是同样来应聘保姆的。女主好奇男主是什么人，见到男主后发现男主坐在轮椅上，形象邋遢，脾气古怪。男主赶走女主，女主却迎难而上，打算帮男主收拾一下，却不小心被地上的杂物绊倒，摔在男主身上，手还按在男主的隐私部位上 素材二：男配和女配来找男主，说两人要结婚了，让男主到时候记得出席婚礼。女配假惺惺道歉，被男主嘲讽，男配说是男主自己不中用，还说起自己被身为男主弟弟，被男主打压多年，家族的继承权和女配本来就应该是自己的。女主看不下去，表示男配真有本事，就不用等到男主出事才来落井下石了。男配生气要打女主，男主抓起桌子上的相框砸向男配 素材三：男主偷听到女主和弟弟谈话，得知女主母亲重病急需用钱，弟弟趁机想要拿钱买通女主，让女主害男主，女主面对选择陷入沉默,通过,通过,不通过,不通过
200,原谅他99次,虐恋,女主和男主相恋七年，从校服走到婚纱，因为深爱男主，为了男主放弃工作，付出一切并未得到男主的珍惜，在原谅男主第99次之后，女主下定决心离婚，开启新生活。男主则是失去女主后，才追悔莫及，追妻火葬场,女主：男主前妻，深爱男主，为男主付出一切却被辜负，最终心灰意冷离开男主 男主：女主前夫，和女主相爱过，但被惯坏了，觉得不论怎么样女主都不会离开自己,女主男配，男主女配，四人修罗场。女配挑拨离间，让男主误以为女主是为了男配才和自己离婚，女主为了不被男主纠缠，谎称是自己出轨了男配,素材一：女主盛装打扮去找男主，以为男主打算给自己过结婚纪念日，到了现场却发现男主在给女配过生日，甚至原本以为要送给自己的礼物，也是送给女配的 素材二：男主和女配被起哄接吻用嘴传递纸巾，女主不准，男主还是坚持这么做，女主心灰意冷，提出离婚 素材三：男主觉得女主只是在闹脾气，自己根本不用哄，回家却发现女主已经准备好了离婚协议书，并签下了自己的名字,不通过,通过,不通过,通过
201,情书来自五年后,虐恋,女主和男配在二十岁相恋，男配带着女主去见家长，但男配的小叔（男主）对女主恶语相向，觉得女主是个拜金女，女主气愤下逃离现场，却在走出门后出了车祸，时空穿越到了六年之后，她醒来发现自己躺在自己男朋友的小叔（男主）身旁，房间内摆着婚纱照。在不断试探男主后，得知她已经和男主已经结婚五年年，随后还得知他们两人有一个四岁半的孩子，女主想不明白自己为什么会和男朋友的小叔结婚，于是开始调查当年的真相。,男主：总裁，男配的小叔，冷静沉稳。 女主：总裁夫人，本来是男配的女友，六年后莫名其妙成为了男主的妻子。 男配：女主的前男友。 女配：千金大小姐，爱慕男主多年。,一卡卡点：女主得知她和男主之间有个儿子。 全剧钩子：六年前真相到底如何？,女主和男配一起去见家长，男主身为男配的小叔，对女主恶语相向，威胁女主离开男配。女主生气冲出门，却出了车祸，接女主经过时光穿越，到了六年之后，女主清醒后，发现自己已经和自己的男朋友的小叔结婚，甚至还生了一个四岁半的孩子，接宴会上，女主再次见到男配，想去询问男配当年到底发生了什么，却被男主阻拦。,不通过,通过,通过,不通过
202,候鸟停在谎言季,大女主,女主本是豪门千金，隐婚和渣男结婚。一天，女主被人绑架，被打断双腿，毁掉芭蕾舞梦想。在女主送医后，才得知这一切都是自己的丈夫策划的一切，目的就是让他的白月光在芭蕾舞大赛上获得冠军。渣男又买通医生试图让女主的手术失败，让女主彻底残疾，女主得知真相后，决心和渣男离婚，并报复渣男。男主这时到场，救下女主，而三个月后，芭蕾舞大赛，女主假装残疾参加参加芭蕾舞大赛，受到各种冷嘲热讽，女主最终在轮椅上站起来，打脸渣男女配，获得冠军，渣男和女配震惊。,女主：天才芭蕾舞舞者，隐藏的千金大小姐。 渣男：小资产公司总裁。 男主：女主的青梅竹马，也是女主之前的联姻对象。 女配：渣男的白月光，芭蕾舞舞者。,一卡钩子：女主到底有没有残疾？ 全剧钩子：女主的千金马甲什么时候掉？渣男和女配什么时候后悔，什么时候受到惩罚？,口播介绍：女主是一名出色的芭蕾舞者，但女主的丈夫为了让他的白月光在大赛上获得冠军，找人打断了女主的腿。接女主的腿被绑匪打断的场景，被送到医院后，女主亲耳听到渣男贿赂医生，要求让女主的手术失败，让女主永远残疾，女主痛恨渣男，回想起自己当年隐藏千金小姐的身份，这时男主出现救下女主。,通过,通过,通过,通过
203,雾尽，见情深,甜宠,女主六年前和出轨的男主离婚，被小三算计只能净身出户带着女儿生活。六年后，女儿生日当晚，女主收到男主电话，说自己破产了，请她收留自己。女主为了女儿而心软同意，没想到这只是男主打错电话的一场测试。另一边，男主决定将错就错，用同一件事测试两个人，却意外得知了小三的真面目，打算重新追回女主,女主：深爱男主，早就知道男主出轨，但因为爱一直忍，直到经历被抛弃、女儿病重男主却不管不顾……对男主心灰意冷 男主：渣男，和女主结婚后被初恋蛊惑，以为女主出轨了男配，为了报复女主而出轨初恋和女主离婚。在得知真相后，又费尽心思想要追回女主 女配：男主初恋，冤枉女主心里有别人，引诱男主出轨报复女主,男主得知女主和女儿打算出国，追到女主家，电话打不通，敲门也没有人应。男主想到当年自己和女主相处的点点滴滴，发觉自己原来还深爱着女主，追悔莫及时，面前的门开了,素材一：女主和女儿一起庆祝生日，女儿期待能接到男主电话，男主真的打来了，却是说自己破产了，欠了很多钱，问女主能不能收留自己？女主为了女儿同意，还发了地址。另一边，男主挂了电话，却发现自己打错了电话，朋友让男主索性试一试女主，看看女主是不是真的对自己死心塌地 素材二：男主发现女主和女儿的日子过得很差，质问女主自己当初给女主的钱花到哪里去了，不会是拿去养野男人了吧？女主说当年不是男主派小三来羞辱自己，还让自己净身出户吗？男主震惊，觉得女主在冤枉小三，和女主吵了一架，结果吓得女儿心脏病发，这才知道女儿竟然有心脏病，而且当年还差点因为没钱救治死掉。男主不信，还提到男配（男主被小三蛊惑以为女主出轨的人）在两人离婚之后突然发家，觉得是女主把自己给的钱拿去贴补男配了 素材三：男主去试探小三，被小三赶走，还知道了当年的真相。女主没有拿到钱，甚至女主由头至尾都没有出轨，男主追悔莫及，又接到女儿说，女主将要带自己出国的告别电话,通过,不通过,通过,通过
204,别有用心的妻子,大女主,女主跟女2是姐妹，女2是被女主妈妈收养的孩子，抢了女主的首富儿子姻缘，还害的女主母亲进icu，女主气不过，直接勾引首富，发誓要当女2婆婆，女主成功得逞，与首富相爱，在女2婚礼当天让女2、渣男对自己磕头叫妈……一起嫁到首富家里的姐妹俩斗智斗勇，而在这之中女主也对首富产生真感情，两人he。,女主：精明优雅女主，有坚韧不拔的生命力 男主：年上成熟总裁爸爸类型首富男主 女2：被女主母亲收养的妹妹，恶毒，自尊心过强，为达目的不择手段女2。掌握了男2过失杀人证据以此要挟男2娶自己。 男2：懦弱窝里横首富收养的儿子男2，原本是女主未婚夫，但抛弃了女主娶了女2。初期对女2有真心，与女2狼狈为奸。,女2与女主在茶具店里针锋相对，女2抢夺了女主茶具要送给“婆婆”。结果万分拜托送礼上门时，女主从男主家里快要出来，女2似乎即将得知女主身份被打脸,开篇交代女主本来要跟首富儿子男2结婚，但女2抢走男2还将两人的母亲气进ICU，女主发誓要跟首富结婚当女2婆婆用这层身份治一治女2。之后女主故意接近首富，勾引首富并且成功。女主女2在同一家茶具店相遇，女2对女主讽刺，说买茶具是为了送给自己婆婆，女主一笑说希望女2婆婆会喜欢。隔天，女2拿着礼物上门时，女主以女2婆婆身份登场。适合日韩市场。,通过,通过,通过,通过
205,契约之爱,甜宠,女主是一个普通的大学生，因家境困难不得不打工来维持学业。男主是一个高冷的富二代，外表冷酷却内心温柔。两人在一次偶然的机会下相遇，男主对女主产生了好感，提出以假结婚的方式帮助女主解决经济问题。随着时间的推移，女主发现男主其实是一个善良的人，而男主也在女主的影响下逐渐敞开心扉，二人之间的感情逐渐升温。最终，男主在面对家族压力时选择了支持女主，两人携手共度难关。,男主：富有且冷酷的富二代，外表高冷但内心善良，愿意为爱付出。女主：坚强独立的大学生，勇敢面对生活的压力，不轻易接受别人的帮助。女二：男主的青梅竹马，心机深沉，试图破坏男主与女主的关系，制造误会。,一卡：女主在学校遭遇男二的恶意欺负，男主恰好出现，将女主从困境中救出，令两人感情迅速升温。,,通过,通过,通过,
206,逆袭女王，甜蜜复仇,甜宠,故事起因：女主是一名在公司里默默无闻的小职员，却被高高在上的总裁男主看中，男主以“契约恋爱”的方式来帮助女主逆袭。男主的真实身份是隐藏的富豪，而女主的初恋渣男在公司里也是个小主管，常常对女主进行言语侮辱。主角主要目的：女主希望通过男主的帮助，提升自己的职场地位，并复仇渣男。经历阻碍事件：1-女主在职场上遇到各种刁难，男主出手相助却被误解为在利用女主；2-女主与男主的关系被渣男发现，渣男对女主进行威胁；3-女主逐渐对男主产生真感情，但男主却因为身份问题而犹豫不决。,男主：高冷总裁，外表冷酷，内心温暖，深爱女主但不善表达；女主：勇敢坚韧，敢于追求自己的梦想，性格独立，但在感情上有些迷茫；女二：总裁的青梅竹马，心机婊，暗中想要破坏女主与男主的关系，争取复合。,女主在一次公司聚会上意外揭露了男主的真实身份，震惊了所有人，而女主也因此被渣男当众羞辱，男主此时挺身而出，宣布对女主的支持。,,通过,通过,通过,
207,《契约之爱：高冷总裁的独宠》,甜宠,女主是一名普通的大学生，因家庭变故被继母逼迫，面临经济危机。一次偶然的机会，她在咖啡厅遇见了男主——一位冷酷无情的总裁。为了帮助女主渡过难关，男主提出假结婚的契约关系，表面上是为了利益，实则暗藏情感的升温。在相处中，女主的坚强独立吸引了男主，最终两人从契约变成了真爱，携手面对生活的挑战。,男主：高冷总裁，外表冷峻内心温柔，深藏情感，默默保护女主；女主：坚韧独立的大学生，拒绝被动接受帮助，勇敢面对生活的压力；女二：男主的青梅竹马，心机重重，一直想要拆散男主和女主，制造种种误会和危机。,一卡：女主在男主的公司被继母派来的刁难，面临被解雇的危机，男主突然现身，提出要与女主签订契约结婚，震惊众人。,,通过,通过,通过,
208,逆袭女王的华丽转身,大女主,女主小雨因父亲的生意破产，隐瞒自己是豪门千金的身份，嫁给了男主杰克。婚后，杰克因事业成功开始嫌弃小雨，认为她拖累了自己，于是提出离婚。小雨离婚后，恢复了自己的高身份，成为一名成功的时尚设计师，开始打脸曾经看不起她的人。杰克后悔不已，试图挽回，但小雨已经不再是当初那个依附于他的女孩。与此同时，男二李明对小雨产生了好感，支持她的事业，并在关键时刻帮助她揭露了杰克的真面目，最终小雨选择了自己的事业与独立。,女主：小雨，隐忍坚韧的豪门千金，深爱过男主，后期为事业打拼；男主：杰克，事业有成却因白月光而误解女主，后期悔恨不已；男二：李明，支持女主的事业，给予她温暖和鼓励，成为她的新伴侣；女二：安娜，男主的白月光，妒忌女主的成功，试图破坏女主的事业。,小雨在时尚秀上揭露了杰克与安娜的阴谋，正准备揭示自己的真实身份时，杰克闯入现场，众人期待着真相的揭晓。,,通过,通过,通过,
209,爱恨交织的替身,虐恋,女主因家庭变故成为孤儿，被迫成为男主的替身，代替他心爱的女人出现在他身边。男主因失去未婚妻而冷酷无情，开始对女主进行精神上的羞辱与折磨。随着时间推移，女主的坚韧与善良逐渐打动了男主，男主开始对女主产生复杂的情感。然而，男主始终无法承认自己的感情，误会重重，女主也因怀孕而不得不承受更大的痛苦。最终，男主在一次意外中得知真相，后悔不已，决心追妻火葬场，试图弥补对女主的伤害。,男主：疯批权贵，外表冷酷偏执，内心深藏对女主的爱与愧疚；女主：美强惨，坚韧不屈的孤儿，努力在逆境中生存，内心充满对爱的渴望；男二：温柔体贴，对女主真心相待，成为女主的依靠，男主因此产生误会；女二：男主的未婚妻，因家庭利益与男主成婚，对女主造成极大压力，成为故事的反派。,男主在一次聚会上意外发现女主的怀孕，误以为是男二的孩子，愤怒之下对女主进行羞辱，女主忍无可忍，决定揭开真相，然而她的决定将彻底改变两人的命运。,,通过,通过,通过,
210,逆袭女神,大女主,女主小雨是一名普通的设计师，因深爱的男友李明而放弃了自己的高管职位，甘愿陪伴在他身边。然而，李明在事业有成后开始嫌弃小雨，选择与白月光在一起，并与小雨分手。小雨心灰意冷，回到家族企业，恢复了身为豪门千金的身份，凭借自己的才华和能力，迅速崛起。最终，她不仅打脸了李明和白月光，还赢得了新男主的心。,男主：新男主张伟，初见小雨时对她的才华赞赏有加，后期成为小雨事业上的得力助手。 女主：小雨，豪门千金，因爱而甘愿放弃身份，后期逆袭成为设计界的女神。 渣男：李明，起初深爱小雨，但在事业成功后背叛了她。 女配：白月光，李明心中的完美女神，最终被小雨的实力和魅力打脸。,小雨在时装周上意外揭露了李明与白月光的真面目，准备让所有人见证她的逆袭时刻。,,通过,通过,通过,
211,《契约之爱：总裁的秘密救赎》,甜宠,女主小雨是一名刚毕业的大学生，因家庭经济困境，被继母逼迫去找工作。一次偶然的机会，她遇到了男主陆辰，一位高冷的总裁。为了帮助小雨解决生活中的困境，陆辰提出了契约恋爱的提议。随着两人之间的互动增多，小雨的坚强和独立逐渐打动了陆辰，而陆辰也在保护小雨的过程中重新找回了对生活的热情。最终，两人携手面对继母和渣男友的压力，成功逆转了命运，收获了真爱。,女主：小雨，坚强独立的女孩，虽然面临家庭的压力，但始终不屈服于命运。男主：陆辰，冷酷总裁，内心温暖，隐藏着对小雨的深情。女配：继母，心机深沉，处处为难小雨；男二：小雨的渣男友，表面温柔，实则心狠手辣。,在一次意外中，小雨被渣男友陷害，正当她绝望之际，陆辰及时出现，揭露了渣男的真实面目，展现了他隐藏的强大背景和身份，让小雨对他刮目相看，二人感情由此升温。,,通过,通过,通过,
212,契约之爱,甜宠,女主是一名普通的职场小白，生活在一座繁华都市中，面临来自继母和渣男友的重重压力。为了逃避这些困境，她偶然间与高位男主，一位冷酷的黑帮大佬相遇。男主因某个原因需要一位假未婚妻来掩饰自己的身份，于是提出与女主签订契约。随着时间的推移，女主在男主的保护下逐渐成长，两人之间的感情也在不断升温。然而，继母和渣男友并不甘心，暗中对女主施加压力，男主决定站出来守护女主，最终两人携手共度难关。,男主：黑帮大佬，外表冷酷，内心温柔，身世背景复杂，深藏不露。女主：职场小白，坚强独立，拒绝被动接受帮助，勇敢面对生活的挑战。男配：女主的渣男友，狡诈阴险，时常给女主制造麻烦。女配：继母，表面和善，实则心机深沉，暗中操控女主的生活。,在一次高档宴会上，女主意外被渣男友羞辱，男主及时出现，冷酷地反击了渣男友，令全场震惊。女主意识到自己并不是孤单一人，而男主对她的守护正是她内心深处的渴望。,,通过,通过,通过,
213,契约情缘,甜宠,女主是一个刚毕业的普通职员，生活在城市的边缘，面临着继母的压迫和渣男友的背叛。在一次偶然的机会下，她救下了正在处理商业危机的男主，男主是一个冷酷无情的黑帮大佬。为了保护女主，男主提出假结婚的契约，表面上是为了互相帮助，实际上却在暗中守护她。随着时间的推移，两人之间的情感逐渐升温，女主也开始反击继母和渣男友的压迫，最终两人共同面对挑战，彼此救赎。,男主：黑帮大佬，外表冷酷，但内心温柔，善于保护他人，尤其是女主。女主：坚强独立的普通女孩，拒绝被动接受爱，努力奋斗，智勇双全。男二：女主的渣男友，狡诈阴险，给女主制造困扰。女二：男主的情敌，家境优越，试图拆散男主与女主的关系。,在一次商业宴会上，女主意外发现男主的真实身份，震惊之余却也感受到了一种莫名的吸引力。就在她准备逃离时，男主冷冷一笑，抓住了她的手，向全场宣布两人的假结婚关系，震惊了所有人，也让女主的心跳加速。,,通过,通过,通过,
214,《爱恨交织的替身游戏》,虐恋,女主身世凄惨，孤儿身份被家族抛弃，偶然成为男主的替身。男主是权贵，因家族安排与未婚妻订婚，冷酷偏执地囚禁和羞辱女主，表面上看似不爱她。随着剧情的发展，女主意外怀孕，男主在误会中对女主的态度开始转变，逐渐意识到自己对她的爱。男二对女主温柔体贴，男主因误会而心生嫉妒，最终在得知真相后悔不已，展开追妻之路。,男主：疯批权贵，外表冷酷，内心深藏对女主的爱，前期对女主施加压力，后期追妻火葬场；女主：美强惨，坚韧不屈，虽遭受男主的羞辱，却依然努力生活；男二：对女主温柔体贴，暗恋女主，因男主的误会而被牵扯其中；女二：男主的未婚妻，给女主造成压力，暗中与男主勾心斗角。,反转悬念：男主在无意中发现女主的怀孕真相，心中充满懊悔，意识到自己对她的爱，决心弥补曾经的错误。,,通过,通过,通过,
215,爱的囚笼,虐恋,女主是一个被家族抛弃的孤儿，努力打拼生活，却在一次意外中被疯批权贵男主囚禁。男主外表冷酷，实际上因家族的恩怨和自我内心的挣扎，逐渐对女主产生复杂的情感。男主的未婚妻为了争夺男主的心，施加各种压力，导致女主不得不在情感与生存之间挣扎。最终，女主怀孕，男主才意识到自己对女主的真实感情，但此时已为时已晚。,男主：疯批权贵，表面冷酷偏执，内心深处却对女主产生了难以承认的爱。女主：美强惨，坚韧不屈，虽然被囚禁，但始终保持着希望。男二：对女主关心备至，男主误会他与女主有暧昧关系，内心充满嫉妒。女二：男主的未婚妻，心机深沉，处处给女主制造麻烦。,反转悬念：男主在得知女主怀孕的消息后，回忆起两人相处的点滴，痛苦地意识到自己一直深爱着女主，却因误会与自尊心而伤害了她。,,通过,通过,通过,
216,爱与痛的边缘,虐恋,女主是一名孤儿，身世凄惨，被家族抛弃，努力奋斗却始终无法摆脱命运的捉弄。她意外成为男主的替身，在男主冷酷偏执的控制下生活。男主是权贵家庭的继承人，因一场误会，表面上对女主冷漠无情，实际上却因对她的深厚感情而痛苦不已。随着剧情发展，女主发现自己怀孕，面临着绝症的威胁，男主逐渐意识到自己的真实感情，最终在追妻火葬场的情节中悔恨不已。,男主：疯批权贵，外冷内热，前期对女主囚禁、羞辱，后期悔恨追求；女主：美强惨，坚韧不屈，遭遇命运捉弄，内心强大；男二：对女主温柔体贴，男主误会他与女主有关系，因而心生嫉妒；女二：男主的未婚妻，给女主造成极大压力，处处与女主对立。,男主在一个意外中发现女主的真实身份和怀孕的消息，心中震惊，意识到自己对她的爱，却为自己曾经的冷酷行为感到无比后悔，情感的纠葛即将展开。,,通过,通过,通过,
217,绝望的爱,虐恋,故事起因：女主是一名孤儿，因被家族抛弃而独自生活。她在一次意外中救下了男主，男主是个权贵，外表冷酷，但内心深处却隐藏着对女主的情感。男主因家族的压力，无法承认自己的感情，选择了囚禁和羞辱女主，表面上对她冷漠。随着时间推移，女主发现自己怀孕了，但男主误以为是男二的孩子，愈加偏执。主角主要目的：女主想要保护自己的孩子，寻找幸福。经历阻碍事件：1-女主被男主囚禁，无法逃离，男主却在内心挣扎；2-男二对女主关心备至，男主因误会而愤怒；3-女主的怀孕被揭穿，面临男主的冷酷和绝望。,男主：权贵公子，外表冷酷，内心复杂，前期对女主极为偏执，后期追悔莫及。女主：坚韧不屈的孤儿，心地善良，因爱而痛苦。男二：对女主温柔体贴，暗恋女主，成为男主嫉妒的对象。女二：男主的未婚妻，心机深沉，试图破坏男女主的关系。,在女主即将流产的危急时刻，男主终于得知真相，愧疚与悔恨交织，心中涌起对女主的真正情感，但一切似乎都已为时已晚。,,通过,通过,通过,
218,契约之爱,甜宠,女主因继母的逼迫和渣男友的背叛，生活陷入困境。一次偶然的机会，她在一家高档酒会上邂逅了男主，一个冷酷无情的黑帮大佬。男主被女主的坚强独立所吸引，提出契约恋爱，以此来保护女主并帮助她解决生活中的种种难题。在契约的过程中，女主逐渐了解到男主内心深处的温柔，两人从互相利用到相互依赖，最终实现了彼此的救赎。,男主：黑帮大佬，外冷内热，表面上冷酷无情，内心却深藏温柔，愿意为爱付出一切。女主：坚强独立的女孩，拒绝被动接受宠爱，努力抗争生活的困境，内心善良而勇敢。男二：女主的渣男友，阴险狡诈，一直试图利用女主。女二：男主的青梅竹马，心机深沉，暗恋男主并试图破坏男女主的关系。,在一次意外中，女主被渣男友逼到绝境，男主及时出现，救下女主，揭开了他隐藏的富豪身份，两人的契约关系也因此发生了微妙的变化。,,通过,通过,通过,
219,《爱在绝望中》,虐恋,女主是一名孤儿，从小被家族抛弃，经历了无数磨难，却依然坚韧不屈。她在一家高档酒店工作，意外邂逅了男主——一个冷酷偏执的权贵。他因为误会女主与男二有关系，开始对她进行囚禁和羞辱，表面上看似对她毫无感情。随着时间的推移，女主发现自己怀孕了，而男主也逐渐意识到自己对女主的情感。在一次意外中，男主得知女主的身世与怀孕真相，开始追悔不已，然而此时女主却因绝症而面临生死考验。两人的命运再次交织，男主决心救回女主，拼尽全力追妻火葬场。,男主：权贵，外表冷酷，内心深藏对女主的爱，经历反转后变得痴情。女主：美强惨，身世凄惨但坚韧不屈，怀孕后更显脆弱与坚强。男二：温柔体贴，对女主关怀备至，成为男主的情敌。女二：男主的未婚妻，给女主施加压力，试图阻挠男主对女主的追求。,男主在绝望中发现女主的绝症，愤怒地质问她为何隐瞒，女主含泪回应，真相即将揭晓，男主对女主的爱与恨交织，命运的转折即将来临。,,通过,通过,通过,
220,《逆袭千金的华丽人生》,大女主,女主是一个隐秘的豪门千金，因父母的反对而与真渣男分手。她在一段平凡的生活中默默付出，最终因一次意外恢复高身份，成为业界顶尖的设计师。面对曾经的渣男和瞧不起她的朋友们，女主一一打脸，展现出她的实力与魅力。,男主：真男主，女主的青涩邻居，默默支持女主，后期成为她的合作伙伴，帮助她重返事业巅峰。 女主：豪门千金，因爱情选择隐瞒身份，后期勇敢追梦，展现出独立与强大的自我。 男配：女主的前男友，真渣男，因追求利益而抛弃女主，后期被女主打脸。 女配：女主的朋友，曾看不起女主，后悔不已，成为女主的助力。,女主在一次盛大的时装秀上，意外揭开自己的身份，震惊全场，曾经瞧不起她的男配在众人面前失声，想要解释却被女主冷冷一笑打断，预示着她的逆袭之路正式开始。,,通过,通过,通过,
221,爱在黑暗中,虐恋,女主是一个身世凄惨的孤儿，被一个富有的男主收养。男主虽然表面上对女主冷漠，但内心却对她怀有复杂的感情。在一次意外中，女主被男主的未婚妻误会，导致男主对女主产生误解，开始对她进行精神上的羞辱。女主为了保护自己，假装与男二交往，男主因此更加愤怒，导致两人关系愈发紧张。最终，女主意外发现自己怀孕，而男主也逐渐意识到自己对女主的真正感情。,男主：富有的企业家，外表冷酷，内心深藏情感，对女主有着复杂的情绪。女主：坚韧不屈的孤儿，聪明而美丽，遭受过许多磨难，但依然努力生活。男二：温柔体贴的朋友，暗恋女主，但在误会中与女主的关系变得复杂。女二：男主的未婚妻，心机重重，利用男主对女主的误解来达到自己的目的。,男主发现女主的怀孕消息后，愤怒与心痛交织，决定找出真相，却在关键时刻被未婚妻阻止，导致误会加深。,,通过,通过,通过,
222,爱恨交织的替身,虐恋,女主是一名孤儿，在一个富豪家中做替身女佣，因长得与男主的未婚妻相似而被迫接受这种身份。男主是个冷酷偏执的权贵，因家庭原因对感情充满了不信任。女主在这个过程中渐渐爱上了男主，但男主却误会她与男二有暧昧关系，因而对她冷酷相待。随着剧情的发展，女主发现自己怀孕了，但因男主的误解和未婚妻的压力，她不得不选择隐瞒真相。最终，男主在得知女主的怀孕消息后，开始追求她，但此时女主已经被深深伤害，陷入两难的境地。,女主：坚韧不屈的孤儿，外表美丽却经历了无数磨难，内心渴望爱与温暖；男主：冷酷的权贵，因家庭原因对爱充满了误解，内心深处其实深爱女主；男二：温柔体贴的富家公子，暗恋女主，试图保护她；女二：男主的未婚妻，心机深沉，试图将女主排挤出局。,反转悬念：男主即将得知女主怀孕的真相，并发现自己其实一直深爱着她，内心充满悔恨，准备为自己的所作所为付出代价。,,通过,通过,通过,
223,爱恨交织，命运的捉弄,虐恋,女主是一个孤儿，从小被家族抛弃，生活艰难却依然坚韧不屈。男主是一个权贵，冷酷偏执，因父亲的病重而不得不娶男二的妹妹为妻，男主心中对女主的爱被误解为对男二的敌意。一次偶然的机会，男主误以为女主和男二有关系，开始对女主施加羞辱和控制，然而他内心深处却对女主产生了无法自知的情感。随着剧情的发展，女主发现自己怀孕，而男主在得知真相后，后悔不已，陷入了追妻的绝境。,男主：疯批权贵，表面冷酷偏执，内心深藏对女主的爱，后期为了挽回女主的心而拼尽全力。女主：美强惨的孤儿，经历了家族的抛弃和生活的磨难，性格坚韧，最终成为男主心中的唯一。男二：对女主温柔体贴，暗恋女主，但因误会与男主产生竞争。女二：男主的未婚妻，心狠手辣，为了维护自己的地位而对女主施加压力。,男主在得知女主怀孕的消息后，意外发现女主与男二之间的误会即将被揭穿，他的冷酷外表下藏着对女主的深切怀念与悔恨，最终决定放下一切追求女主的心。,,通过,通过,通过,
